client_id,round,flops
f0008_45,1,12977775616.0
f0004_09,1,9776361472.0
f0016_39,1,9673090048.0
f0000_14,1,11841789952.0
f0012_39,1,9569818624.0
f0001_41,1,12805656576.0
f0017_07,1,13149894656.0
f0013_38,1,10223870976.0
f0005_26,1,10877923328.0
f0009_06,1,11704094720.0
f0019_38,1,11704094720.0
f0007_14,1,11635247104.0
f0011_13,1,13184318464.0
f0003_42,1,12323723264.0
f0015_48,1,11463128064.0
f0018_13,1,11876213760.0
f0010_18,1,13528556544.0
f0006_12,1,11772942336.0
f0002_01,1,12530266112.0
f0014_19,1,11738518528.0
f0012_39,2,9569818624.0
f0016_39,2,9673090048.0
f0000_14,2,11841789952.0
f0004_09,2,9776361472.0
f0008_45,2,12977775616.0
f0001_41,2,12805656576.0
f0017_07,2,13149894656.0
f0013_38,2,10223870976.0
f0009_06,2,11704094720.0
f0005_26,2,10877923328.0
f0011_13,2,13184318464.0
f0019_38,2,11704094720.0
f0003_42,2,12323723264.0
f0015_48,2,11463128064.0
f0007_14,2,11635247104.0
f0018_13,2,11876213760.0
f0002_01,2,12530266112.0
f0010_18,2,13528556544.0
f0014_19,2,11738518528.0
f0006_12,2,11772942336.0
f0013_38,3,10223870976.0
f0005_26,3,10877923328.0
f0017_07,3,13149894656.0
f0009_06,3,11704094720.0
f0001_41,3,12805656576.0
f0012_39,3,9569818624.0
f0008_45,3,12977775616.0
f0004_09,3,9776361472.0
f0016_39,3,9673090048.0
f0000_14,3,11841789952.0
f0002_01,3,12530266112.0
f0006_12,3,11772942336.0
f0010_18,3,13528556544.0
f0018_13,3,11876213760.0
f0014_19,3,11738518528.0
f0015_48,3,11463128064.0
f0011_13,3,13184318464.0
f0003_42,3,12323723264.0
f0007_14,3,11635247104.0
f0019_38,3,11704094720.0
f0000_14,4,11841789952.0
f0012_39,4,9569818624.0
f0016_39,4,9673090048.0
f0008_45,4,12977775616.0
f0004_09,4,9776361472.0
f0013_38,4,10223870976.0
f0017_07,4,13149894656.0
f0009_06,4,11704094720.0
f0001_41,4,12805656576.0
f0005_26,4,10877923328.0
f0003_42,4,12323723264.0
f0007_14,4,11635247104.0
f0011_13,4,13184318464.0
f0015_48,4,11463128064.0
f0019_38,4,11704094720.0
f0018_13,4,11876213760.0
f0002_01,4,12530266112.0
f0014_19,4,11738518528.0
f0010_18,4,13528556544.0
f0006_12,4,11772942336.0
f0008_45,5,12977775616.0
f0016_39,5,9673090048.0
f0004_09,5,9776361472.0
f0012_39,5,9569818624.0
f0000_14,5,11841789952.0
f0001_41,5,12805656576.0
f0005_26,5,10877923328.0
f0017_07,5,13149894656.0
f0013_38,5,10223870976.0
f0009_06,5,11704094720.0
f0007_14,5,11635247104.0
f0019_38,5,11704094720.0
f0015_48,5,11463128064.0
f0011_13,5,13184318464.0
f0003_42,5,12323723264.0
f0002_01,5,12530266112.0
f0018_13,5,11876213760.0
f0006_12,5,11772942336.0
f0010_18,5,13528556544.0
f0014_19,5,11738518528.0
f0017_07,6,13149894656.0
f0009_06,6,11704094720.0
f0005_26,6,10877923328.0
f0001_41,6,12805656576.0
f0013_38,6,10223870976.0
f0007_14,6,11635247104.0
f0011_13,6,13184318464.0
f0019_38,6,11704094720.0
f0015_48,6,11463128064.0
f0003_42,6,12323723264.0
f0012_39,6,9569818624.0
f0008_45,6,12977775616.0
f0004_09,6,9776361472.0
f0000_14,6,11841789952.0
f0016_39,6,9673090048.0
f0006_12,6,11772942336.0
f0010_18,6,13528556544.0
f0002_01,6,12530266112.0
f0018_13,6,11876213760.0
f0014_19,6,11738518528.0
f0004_09,7,9776361472.0
f0008_45,7,12977775616.0
f0012_39,7,9569818624.0
f0000_14,7,11841789952.0
f0016_39,7,9673090048.0
f0018_13,7,11876213760.0
f0014_19,7,11738518528.0
f0006_12,7,11772942336.0
f0002_01,7,12530266112.0
f0010_18,7,13528556544.0
f0005_26,7,10877923328.0
f0001_41,7,12805656576.0
f0017_07,7,13149894656.0
f0009_06,7,11704094720.0
f0013_38,7,10223870976.0
f0003_42,7,12323723264.0
f0019_38,7,11704094720.0
f0011_13,7,13184318464.0
f0015_48,7,11463128064.0
f0007_14,7,11635247104.0
f0005_26,8,10877923328.0
f0013_38,8,10223870976.0
f0001_41,8,12805656576.0
f0009_06,8,11704094720.0
f0017_07,8,13149894656.0
f0016_39,8,9673090048.0
f0012_39,8,9569818624.0
f0000_14,8,11841789952.0
f0008_45,8,12977775616.0
f0004_09,8,9776361472.0
f0011_13,8,13184318464.0
f0007_14,8,11635247104.0
f0019_38,8,11704094720.0
f0015_48,8,11463128064.0
f0003_42,8,12323723264.0
f0018_13,8,11876213760.0
f0002_01,8,12530266112.0
f0006_12,8,11772942336.0
f0010_18,8,13528556544.0
f0014_19,8,11738518528.0
f0004_09,9,9776361472.0
f0012_39,9,9569818624.0
f0016_39,9,9673090048.0
f0000_14,9,11841789952.0
f0008_45,9,12977775616.0
f0001_41,9,12805656576.0
f0005_26,9,10877923328.0
f0009_06,9,11704094720.0
f0017_07,9,13149894656.0
f0013_38,9,10223870976.0
f0007_14,9,11635247104.0
f0015_48,9,11463128064.0
f0019_38,9,11704094720.0
f0011_13,9,13184318464.0
f0003_42,9,12323723264.0
f0006_12,9,11772942336.0
f0010_18,9,13528556544.0
f0018_13,9,11876213760.0
f0014_19,9,11738518528.0
f0002_01,9,12530266112.0
f0016_39,10,9673090048.0
f0008_45,10,12977775616.0
f0012_39,10,9569818624.0
f0004_09,10,9776361472.0
f0000_14,10,11841789952.0
f0017_07,10,13149894656.0
f0001_41,10,12805656576.0
f0005_26,10,10877923328.0
f0009_06,10,11704094720.0
f0013_38,10,10223870976.0
f0002_01,10,12530266112.0
f0010_18,10,13528556544.0
f0018_13,10,11876213760.0
f0006_12,10,11772942336.0
f0014_19,10,11738518528.0
f0015_48,10,11463128064.0
f0019_38,10,11704094720.0
f0007_14,10,11635247104.0
f0011_13,10,13184318464.0
f0003_42,10,12323723264.0
f0012_39,11,9569818624.0
f0016_39,11,9673090048.0
f0004_09,11,9776361472.0
f0000_14,11,11841789952.0
f0008_45,11,12977775616.0
f0013_38,11,10223870976.0
f0017_07,11,13149894656.0
f0005_26,11,10877923328.0
f0009_06,11,11704094720.0
f0001_41,11,12805656576.0
f0015_48,11,11463128064.0
f0003_42,11,12323723264.0
f0007_14,11,11635247104.0
f0011_13,11,13184318464.0
f0019_38,11,11704094720.0
f0010_18,11,13528556544.0
f0002_01,11,12530266112.0
f0018_13,11,11876213760.0
f0006_12,11,11772942336.0
f0014_19,11,11738518528.0
f0004_09,12,9776361472.0
f0008_45,12,12977775616.0
f0000_14,12,11841789952.0
f0016_39,12,9673090048.0
f0012_39,12,9569818624.0
f0019_38,12,11704094720.0
f0011_13,12,13184318464.0
f0007_14,12,11635247104.0
f0015_48,12,11463128064.0
f0003_42,12,12323723264.0
f0009_06,12,11704094720.0
f0005_26,12,10877923328.0
f0013_38,12,10223870976.0
f0017_07,12,13149894656.0
f0001_41,12,12805656576.0
f0002_01,12,12530266112.0
f0014_19,12,11738518528.0
f0006_12,12,11772942336.0
f0018_13,12,11876213760.0
f0010_18,12,13528556544.0
f0000_14,13,11841789952.0
f0016_39,13,9673090048.0
f0012_39,13,9569818624.0
f0004_09,13,9776361472.0
f0008_45,13,12977775616.0
f0007_14,13,11635247104.0
f0003_42,13,12323723264.0
f0019_38,13,11704094720.0
f0015_48,13,11463128064.0
f0011_13,13,13184318464.0
f0017_07,13,13149894656.0
f0001_41,13,12805656576.0
